Dataset,Sample,Patient_ID,Timepoint,n_cells,median_nCount,min_nCount,max_nCount,median_nFeature,min_nFeature,max_nFeature,median_pct_mt,max_pct_mt,median_pct_ribo,max_pct_ribo,median_pct_hb,max_pct_hb
GSE253355,GSM8019212_H14_MACS,H14_MACS,Healthy,7796,6896.5,500,157267,2315.5,38,9775,2.07366290286871,95.6229735988884,7.30629354913619,68.1818181818182,0.0081083272520879,95.3365384615385
GSE253355,GSM8019213_H21,H21,Healthy,8993,8378,500,181295,2859,66,10399,4.00926023361044,96.4250248262165,12.6160790262311,68.022872223444,0.00691467293597013,97.7171136653895
GSE253355,GSM8019214_H23,H23,Healthy,12425,6896,500,110770,2615,55,9541,2.67349260523322,93.0778739184178,10.5217137860682,66.4103796251802,0,96.4835961573319
GSE253355,GSM8019215_H24,H24,Healthy,9460,7580.5,500,130116,2514.5,64,9131,2.83326255862995,94.3843031123139,9.05859789050229,67.4926862846326,0,97.0103806228374
GSE253355,GSM8019216_H32,H32,Healthy,4917,9161,500,177604,2922,42,10387,2.99645308397439,96.9053398058252,15.7791819518738,64.4494578269413,0.0101153145862836,97.9278587874137
GSE253355,GSM8019217_H33,H33,Healthy,8661,5968,500,195771,2102,34,9902,3.65853658536585,97.7688255345522,14.9132035770647,63.7791012452626,0.00471297954566877,95.808858548976
GSE253355,GSM8019218_H34,H34,Healthy,7246,6436.5,500,153179,2193,53,10264,2.92062196117617,96.5853658536585,8.44425848364076,65.7877389584707,0,97.9035639412998
GSE253355,GSM8019219_H35,H35,Healthy,8556,6240.5,500,167418,2151.5,35,11542,2.53649885833443,95.6810631229236,6.85034768311289,66.6832669322709,0.00546470483864991,97.5088004332521
GSE253355,GSM8019220_H36,H36,Healthy,11326,10156,500,185384,3045,50,11926,2.82862947409073,95.7142857142857,7.63765833079933,60.5520657163566,0.00609301098348552,97.2359200622891
GSE253355,GSM8019221_H38,H38,Healthy,8594,10142,500,138992,2867,36,10459,2.9310279909429,94.3441636582431,9.76418430289896,69.7056712132089,0.00829737808566751,98.4850292258142
GSE253355,GSM8019222_H39,H39,Healthy,10307,11788,501,176298,2963,50,10156,2.45622282289341,94.0962393853619,8.08682416782476,70.7479224376731,0.00444760718733322,98.037123959889
GSE253355,GSM8019223_H41,H41,Healthy,9361,11588,500,153566,3360,68,10550,2.86005183265457,94.5797807551766,6.82578518999351,59.6013612056393,0.00620385880017371,96.8872492506341
