arm,alpha,kind,dataset,patient,n_pool,d_true,d_pool_median,pct
walk,0.0,Dx_to_Relapse,GSE201966,AML01,3,0.18459340066742377,0.1923606261865572,0.3333333333333333
walk,0.0,Dx_to_Relapse,GSE201966,AML03,3,0.1329245457944771,0.14733386104264978,0.3333333333333333
walk,0.0,Dx_to_Relapse,GSE227903,1216,23,0.06921476101153715,0.1251163888597236,0.08695652173913043
walk,0.0,Dx_to_Relapse,GSE227903,1886,23,0.2182551219553279,0.261554468556646,0.391304347826087
walk,0.0,Dx_to_Relapse,GSE227903,3853,24,0.40907737426454716,0.4022403064122577,0.5833333333333334
walk,0.0,Dx_to_Relapse,GSE227903,3904,23,0.10497947440859573,0.14349868009810487,0.34782608695652173
walk,0.0,Dx_to_Relapse,GSE227903,40389,23,0.07574611636674829,0.10787795999317819,0.34782608695652173
walk,0.0,Dx_to_Relapse,GSE227903,4978,23,0.2870611914982078,0.11613793953109446,0.8695652173913043
walk,0.0,Dx_to_Relapse,GSE227903,5143,24,0.08359442415504137,0.22034557688524917,0.16666666666666666
walk,0.0,Dx_to_Relapse,GSE227903,5750,23,0.0843772411589569,0.13402372914230926,0.17391304347826086
walk,0.0,Dx_to_Relapse,GSE227903,6323,22,0.13404894251934887,0.16715837946533108,0.22727272727272727
walk,0.0,Dx_to_Treatment,GSE116256,AML328,11,0.06444219485032296,0.2877537637947981,0.0
walk,0.0,Dx_to_Treatment,GSE116256,AML329,11,0.0661470114529238,0.16354194796170488,0.18181818181818182
walk,0.0,Dx_to_Treatment,GSE116256,AML556,11,0.2621785478850978,0.28384211424474587,0.45454545454545453
walk,0.0,Dx_to_Treatment,GSE116256,AML707B,11,0.022630622729977314,0.24021668465777177,0.0
walk,0.0,Dx_to_Treatment,GSE227903,1216,23,0.11688410320224109,0.1251163888597236,0.34782608695652173
walk,0.0,Dx_to_Treatment,GSE227903,1886,23,0.2756781006710094,0.261554468556646,0.6521739130434783
walk,0.0,Dx_to_Treatment,GSE227903,3904,23,0.16001546313751377,0.14349868009810487,0.6521739130434783
walk,0.0,Dx_to_Treatment,GSE227903,40389,23,0.04099803901151708,0.10787795999317819,0.08695652173913043
walk,0.0,Dx_to_Treatment,GSE227903,4978,23,0.07285895940642963,0.11613793953109446,0.34782608695652173
walk,0.0,Dx_to_Treatment,GSE227903,5750,23,0.0474648727300466,0.13402372914230926,0.043478260869565216
walk,0.0,Dx_to_Treatment,GSE227903,6323,22,0.19432259054974205,0.16715837946533108,0.6818181818181818
walk,0.5,Dx_to_Relapse,GSE201966,AML01,3,0.2875707544775827,0.39733667626138225,0.3333333333333333
walk,0.5,Dx_to_Relapse,GSE201966,AML03,3,0.2891796764970128,0.3572205962608816,0.3333333333333333
walk,0.5,Dx_to_Relapse,GSE227903,1216,23,0.13641739706012787,0.26667710827429714,0.0
walk,0.5,Dx_to_Relapse,GSE227903,1886,23,0.2045676609251016,0.2670799184167716,0.17391304347826086
walk,0.5,Dx_to_Relapse,GSE227903,3853,24,0.2518437713102791,0.38217986358766654,0.08333333333333333
walk,0.5,Dx_to_Relapse,GSE227903,3904,23,0.1626554694100329,0.24630652579998924,0.17391304347826086
walk,0.5,Dx_to_Relapse,GSE227903,40389,23,0.08080230402567028,0.24047310100456673,0.08695652173913043
walk,0.5,Dx_to_Relapse,GSE227903,4978,23,1.1570192725598,0.42307949227742186,1.0
walk,0.5,Dx_to_Relapse,GSE227903,5143,24,0.13678534897940653,0.33357619969474883,0.125
walk,0.5,Dx_to_Relapse,GSE227903,5750,23,0.21278331201051282,0.2548437484052798,0.2608695652173913
walk,0.5,Dx_to_Relapse,GSE227903,6323,22,0.37293610919447856,0.25692059134677636,0.8636363636363636
walk,0.5,Dx_to_Treatment,GSE116256,AML328,11,0.15398233011069165,0.4177035705646842,0.0
walk,0.5,Dx_to_Treatment,GSE116256,AML329,11,1.009210049697411,0.26280934448331583,1.0
walk,0.5,Dx_to_Treatment,GSE116256,AML556,11,0.5030415803367896,0.5487516060734611,0.2727272727272727
walk,0.5,Dx_to_Treatment,GSE116256,AML707B,11,0.12300940571508878,0.4942070795945961,0.0
walk,0.5,Dx_to_Treatment,GSE227903,1216,23,0.20526136523719965,0.26667710827429714,0.08695652173913043
walk,0.5,Dx_to_Treatment,GSE227903,1886,23,0.28651208552642204,0.2670799184167716,0.5652173913043478
walk,0.5,Dx_to_Treatment,GSE227903,3904,23,0.23189663562786977,0.24630652579998924,0.4782608695652174
walk,0.5,Dx_to_Treatment,GSE227903,40389,23,0.07718118639247387,0.24047310100456673,0.08695652173913043
walk,0.5,Dx_to_Treatment,GSE227903,4978,23,0.44519158230630607,0.42307949227742186,0.5652173913043478
walk,0.5,Dx_to_Treatment,GSE227903,5750,23,0.1874271437659896,0.2548437484052798,0.17391304347826086
walk,0.5,Dx_to_Treatment,GSE227903,6323,22,0.5516860888833289,0.25692059134677636,0.9545454545454546
walk,1.0,Dx_to_Relapse,GSE201966,AML01,3,0.3809178519568659,0.4541176899722706,0.3333333333333333
walk,1.0,Dx_to_Relapse,GSE201966,AML03,3,0.44372124116895706,0.4276185734636015,0.6666666666666666
walk,1.0,Dx_to_Relapse,GSE227903,1216,23,0.1903402109064053,0.38466687171305103,0.0
walk,1.0,Dx_to_Relapse,GSE227903,1886,23,0.09097913389314158,0.2593239155901574,0.0
walk,1.0,Dx_to_Relapse,GSE227903,3853,24,0.07091256596053197,0.4038295045150644,0.08333333333333333
walk,1.0,Dx_to_Relapse,GSE227903,3904,23,0.15532850578640087,0.26067635556965296,0.13043478260869565
walk,1.0,Dx_to_Relapse,GSE227903,40389,23,0.0831593850734558,0.24213603588530666,0.08695652173913043
walk,1.0,Dx_to_Relapse,GSE227903,4978,23,1.960145816557556,0.6793932154326685,1.0
walk,1.0,Dx_to_Relapse,GSE227903,5143,24,0.1598949424806901,0.39869943034155264,0.16666666666666666
walk,1.0,Dx_to_Relapse,GSE227903,5750,23,0.3164906993650837,0.3247959038001952,0.4782608695652174
walk,1.0,Dx_to_Relapse,GSE227903,6323,22,0.5783306867519311,0.31277312830176107,0.8181818181818182
walk,1.0,Dx_to_Treatment,GSE116256,AML328,11,0.17735641156066217,0.5408560448753357,0.09090909090909091
walk,1.0,Dx_to_Treatment,GSE116256,AML329,11,1.9109036983138121,0.34133813942138774,1.0
walk,1.0,Dx_to_Treatment,GSE116256,AML556,11,0.6907500769322023,0.832003571501065,0.18181818181818182
walk,1.0,Dx_to_Treatment,GSE116256,AML707B,11,0.19224071119412756,0.6626842455266391,0.0
walk,1.0,Dx_to_Treatment,GSE227903,1216,23,0.26468664539988657,0.38466687171305103,0.0
walk,1.0,Dx_to_Treatment,GSE227903,1886,23,0.16835106841530903,0.2593239155901574,0.2608695652173913
walk,1.0,Dx_to_Treatment,GSE227903,3904,23,0.21161077789355415,0.26067635556965296,0.34782608695652173
walk,1.0,Dx_to_Treatment,GSE227903,40389,23,0.11348221261670205,0.24213603588530666,0.08695652173913043
walk,1.0,Dx_to_Treatment,GSE227903,4978,23,0.772372127406742,0.6793932154326685,0.5652173913043478
walk,1.0,Dx_to_Treatment,GSE227903,5750,23,0.23605791274666812,0.3247959038001952,0.34782608695652173
