arm,alpha,kind,dataset,patient,n_pool,d_true,d_pool_median,pct
rank_signal,0.0,Dx_to_Relapse,GSE201966,AML01,3,0.18459340066742377,0.1923606261865572,0.3333333333333333
rank_signal,0.0,Dx_to_Relapse,GSE201966,AML03,3,0.1329245457944771,0.14733386104264978,0.3333333333333333
rank_signal,0.0,Dx_to_Relapse,GSE227903,1216,23,0.06921476101153715,0.1251163888597236,0.08695652173913043
rank_signal,0.0,Dx_to_Relapse,GSE227903,1886,23,0.2182551219553279,0.261554468556646,0.391304347826087
rank_signal,0.0,Dx_to_Relapse,GSE227903,3853,24,0.40907737426454716,0.4022403064122577,0.5833333333333334
rank_signal,0.0,Dx_to_Relapse,GSE227903,3904,23,0.10497947440859573,0.14349868009810487,0.34782608695652173
rank_signal,0.0,Dx_to_Relapse,GSE227903,40389,23,0.07574611636674829,0.10787795999317819,0.34782608695652173
rank_signal,0.0,Dx_to_Relapse,GSE227903,4978,23,0.2870611914982078,0.11613793953109446,0.8695652173913043
rank_signal,0.0,Dx_to_Relapse,GSE227903,5143,24,0.08359442415504137,0.22034557688524917,0.16666666666666666
rank_signal,0.0,Dx_to_Relapse,GSE227903,5750,23,0.0843772411589569,0.13402372914230926,0.17391304347826086
rank_signal,0.0,Dx_to_Relapse,GSE227903,6323,22,0.13404894251934887,0.16715837946533108,0.22727272727272727
rank_signal,0.0,Dx_to_Treatment,GSE116256,AML328,11,0.06444219485032296,0.2877537637947981,0.0
rank_signal,0.0,Dx_to_Treatment,GSE116256,AML329,11,0.0661470114529238,0.16354194796170488,0.18181818181818182
rank_signal,0.0,Dx_to_Treatment,GSE116256,AML556,11,0.2621785478850978,0.28384211424474587,0.45454545454545453
rank_signal,0.0,Dx_to_Treatment,GSE116256,AML707B,11,0.022630622729977314,0.24021668465777177,0.0
rank_signal,0.0,Dx_to_Treatment,GSE227903,1216,23,0.11688410320224109,0.1251163888597236,0.34782608695652173
rank_signal,0.0,Dx_to_Treatment,GSE227903,1886,23,0.2756781006710094,0.261554468556646,0.6521739130434783
rank_signal,0.0,Dx_to_Treatment,GSE227903,3904,23,0.16001546313751377,0.14349868009810487,0.6521739130434783
rank_signal,0.0,Dx_to_Treatment,GSE227903,40389,23,0.04099803901151708,0.10787795999317819,0.08695652173913043
